countrynewwb,Mobile Account (%),Digital Payment (%)
Indonesia,22.012902404078698,13.595791923458
Malaysia,44.5049316596793,52.244761114208806
Philippines,28.8000006326383,13.4216483675958
Thailand,41.6773814169066,51.2502194573726
