countrynewwb,account_t_d,mobileaccount_t_d,merchant_pay
Indonesia,0.563278493718021,0.220129024040787,0.13595791923458
Japan,0.985235592091779,,
"Korea, Rep.",0.968949448884961,0.601022032736356,
Malaysia,0.886918012421116,0.445049316596793,0.522447611142088
Philippines,0.501824221429254,0.288000006326383,0.134216483675958
Singapore,0.979718288419762,0.564689658881854,
Thailand,0.918249814693343,0.416773814169066,0.512502194573726
United States,0.970230983290589,,
