countrynewwb,codewb,year,merchant_pay,fing2p_card,mobileaccount_t_d
Thailand,THA,2024,0.512502194573726,0.0182062458517751,0.416773814169066
United States,USA,2024,,,
Indonesia,IDN,2011,,,
Indonesia,IDN,2011,,,
Japan,JPN,2011,,,
Japan,JPN,2011,,,
"Korea, Rep.",KOR,2011,,,
"Korea, Rep.",KOR,2011,,,
Malaysia,MYS,2011,,,
Malaysia,MYS,2011,,,
Philippines,PHL,2011,,,
Philippines,PHL,2011,,,
Singapore,SGP,2011,,,
Singapore,SGP,2011,,,
Thailand,THA,2011,,,
Thailand,THA,2011,,,
United States,USA,2011,,,
United States,USA,2011,,,
Indonesia,IDN,2014,,,
Indonesia,IDN,2014,,,
Japan,JPN,2014,,,
Japan,JPN,2014,,,
"Korea, Rep.",KOR,2014,,,
"Korea, Rep.",KOR,2014,,,
Malaysia,MYS,2014,,,
Malaysia,MYS,2014,,,
Philippines,PHL,2014,,,
Philippines,PHL,2014,,,
Singapore,SGP,2014,,,
Singapore,SGP,2014,,,
Thailand,THA,2014,,,
Thailand,THA,2014,,,
United States,USA,2014,,,
United States,USA,2014,,,
Indonesia,IDN,2017,,,
Indonesia,IDN,2017,,,
Japan,JPN,2017,,,
Japan,JPN,2017,,,
"Korea, Rep.",KOR,2017,,,
"Korea, Rep.",KOR,2017,,,
Malaysia,MYS,2017,,,0.127923429651072
Malaysia,MYS,2017,,,0.0874234472031634
Philippines,PHL,2017,,,
Philippines,PHL,2017,,,
Singapore,SGP,2017,,,
Singapore,SGP,2017,,,
Thailand,THA,2017,,,
Thailand,THA,2017,,,
United States,USA,2017,,,
United States,USA,2017,,,
Indonesia,IDN,2021,0.122952944129901,,
Indonesia,IDN,2021,0.135854454853633,,
Japan,JPN,2021,,,
Japan,JPN,2021,,,
"Korea, Rep.",KOR,2021,,0.130125384646723,
"Korea, Rep.",KOR,2021,,0.216294001056374,
Malaysia,MYS,2021,0.511219772658309,,0.269605928030778
Malaysia,MYS,2021,0.494951505884605,,0.290011814591864
Philippines,PHL,2021,0.236128076378316,,0.247588969709446
Philippines,PHL,2021,0.136769924143461,,0.1891147763025
Singapore,SGP,2021,,,0.343716920482608
Singapore,SGP,2021,,,0.270675558123331
Thailand,THA,2021,0.633094956789074,,0.635719769116343
Thailand,THA,2021,0.632308464055566,,0.566110914037759
United States,USA,2021,,,
United States,USA,2021,,,
Indonesia,IDN,2024,0.154943499298365,,0.241305390839739
Indonesia,IDN,2024,0.116815441374397,,0.198777654672763
Japan,JPN,2024,,,
Japan,JPN,2024,,,
"Korea, Rep.",KOR,2024,,,0.601917004934247
"Korea, Rep.",KOR,2024,,,0.600138095766272
Malaysia,MYS,2024,0.523861542760804,,0.464669672599452
Malaysia,MYS,2024,0.520984066477766,,0.424740507486309
Philippines,PHL,2024,0.11778477959091,,0.263996432000418
Philippines,PHL,2024,0.150139972547144,,0.311261175507
Singapore,SGP,2024,,,0.576845334976969
Singapore,SGP,2024,,,0.552087181867578
Thailand,THA,2024,0.527274502394773,,0.44692545800819
Thailand,THA,2024,0.498245514333641,,0.387674613818331
United States,USA,2024,,,
United States,USA,2024,,,
Indonesia,IDN,2011,,,
Indonesia,IDN,2011,,,
Japan,JPN,2011,,,
Japan,JPN,2011,,,
"Korea, Rep.",KOR,2011,,,
"Korea, Rep.",KOR,2011,,,
Malaysia,MYS,2011,,,
Malaysia,MYS,2011,,,
Philippines,PHL,2011,,,
Philippines,PHL,2011,,,
Thailand,THA,2011,,,
Thailand,THA,2011,,,
United States,USA,2011,,,
United States,USA,2011,,,
Indonesia,IDN,2014,,,
Indonesia,IDN,2014,,,
Japan,JPN,2014,,,
Japan,JPN,2014,,,
"Korea, Rep.",KOR,2014,,,
"Korea, Rep.",KOR,2014,,,
Malaysia,MYS,2014,,,
Malaysia,MYS,2014,,,
Philippines,PHL,2014,,,
Philippines,PHL,2014,,,
Singapore,SGP,2014,,,
Singapore,SGP,2014,,,
Thailand,THA,2014,,,
Thailand,THA,2014,,,
United States,USA,2014,,,
United States,USA,2014,,,
Indonesia,IDN,2017,,,
Indonesia,IDN,2017,,,
Japan,JPN,2017,,,
Japan,JPN,2017,,,
"Korea, Rep.",KOR,2017,,,
"Korea, Rep.",KOR,2017,,,
Malaysia,MYS,2017,,,0.116287559498638
Malaysia,MYS,2017,,,0.0973744359671469
Philippines,PHL,2017,,,
Philippines,PHL,2017,,,
Singapore,SGP,2017,,,
Singapore,SGP,2017,,,
Thailand,THA,2017,,,
Thailand,THA,2017,,,
United States,USA,2017,,,
United States,USA,2017,,,
Indonesia,IDN,2021,0.15415727195854,,
Indonesia,IDN,2021,0.0925693465344687,,
Japan,JPN,2021,,,
Japan,JPN,2021,,,
"Korea, Rep.",KOR,2021,,0.157380036959471,
"Korea, Rep.",KOR,2021,,0.191963632008371,
Malaysia,MYS,2021,0.64589726045662,,0.376963116711847
Malaysia,MYS,2021,0.2886347811234,,0.133840415924104
Philippines,PHL,2021,0.263874845664385,,0.286479069089244
Philippines,PHL,2021,0.0645222364872978,,0.11227015605097
Singapore,SGP,2021,,,0.345899091615107
Singapore,SGP,2021,,,0.246082198196609
Thailand,THA,2021,0.714876394841076,,0.672816827620906
Thailand,THA,2021,0.51130243071409,,0.492445334641824
United States,USA,2021,,,
United States,USA,2021,,,
Indonesia,IDN,2024,0.171955540234199,,0.285681428185817
Indonesia,IDN,2024,0.0818444540098244,,0.121587297015583
Japan,JPN,2024,,,
Japan,JPN,2024,,,
"Korea, Rep.",KOR,2024,,,0.710367510340081
"Korea, Rep.",KOR,2024,,,0.436465940125997
Malaysia,MYS,2024,0.65232808020659,,0.553540558384733
Malaysia,MYS,2024,0.327840076955827,,0.282490517747129
Philippines,PHL,2024,0.209465510551495,,0.383535481044324
Philippines,PHL,2024,0.0214232582797498,,0.144798761331973
Singapore,SGP,2024,,,0.605778867487759
Singapore,SGP,2024,,,0.503211045684426
Thailand,THA,2024,0.583137375100637,,0.511292293947228
Thailand,THA,2024,0.406262070275086,,0.274611580488288
United States,USA,2024,,,
United States,USA,2024,,,
Indonesia,IDN,2011,,,
Indonesia,IDN,2011,,,
Japan,JPN,2011,,,
Japan,JPN,2011,,,
"Korea, Rep.",KOR,2011,,,
"Korea, Rep.",KOR,2011,,,
Malaysia,MYS,2011,,,
Malaysia,MYS,2011,,,
Philippines,PHL,2011,,,
Philippines,PHL,2011,,,
Singapore,SGP,2011,,,
Singapore,SGP,2011,,,
Thailand,THA,2011,,,
Thailand,THA,2011,,,
United States,USA,2011,,,
United States,USA,2011,,,
Indonesia,IDN,2014,,,
Indonesia,IDN,2014,,,
Japan,JPN,2014,,,
Japan,JPN,2014,,,
"Korea, Rep.",KOR,2014,,,
"Korea, Rep.",KOR,2014,,,
Malaysia,MYS,2014,,,
Malaysia,MYS,2014,,,
Philippines,PHL,2014,,,
Philippines,PHL,2014,,,
Singapore,SGP,2014,,,
Singapore,SGP,2014,,,
Thailand,THA,2014,,,
Thailand,THA,2014,,,
United States,USA,2014,,,
United States,USA,2014,,,
Indonesia,IDN,2017,,,
Indonesia,IDN,2017,,,
Japan,JPN,2017,,,
Japan,JPN,2017,,,
"Korea, Rep.",KOR,2017,,,
"Korea, Rep.",KOR,2017,,,
Malaysia,MYS,2017,,,0.0887118743955646
Malaysia,MYS,2017,,,0.163228694214713
Philippines,PHL,2017,,,
Philippines,PHL,2017,,,
Singapore,SGP,2017,,,
Singapore,SGP,2017,,,
Thailand,THA,2017,,,
Thailand,THA,2017,,,
United States,USA,2017,,,
United States,USA,2017,,,
Indonesia,IDN,2021,0.0979949514333573,,
Indonesia,IDN,2021,0.242935798055102,,
Japan,JPN,2021,,,
Japan,JPN,2021,,,
"Korea, Rep.",KOR,2021,,0.177555020981535,
"Korea, Rep.",KOR,2021,,0.136754105761354,
Malaysia,MYS,2021,0.530361313887935,,0.286997554211738
Malaysia,MYS,2021,0.410223987746277,,0.255226374534873
Philippines,PHL,2021,0.202616983085409,,0.236316262857599
Philippines,PHL,2021,0.139245713834671,,0.16894689374564
Singapore,SGP,2021,,,0.307545828232136
Singapore,SGP,2021,,,0.29680685932128
Thailand,THA,2021,0.634511476068212,,0.578199373086614
Thailand,THA,2021,0.625511570514964,,0.685990864405721
United States,USA,2021,,,
United States,USA,2021,,,
Indonesia,IDN,2024,0.10484976312608,,0.170933720087534
Indonesia,IDN,2024,0.245902026203127,,0.393997695051755
Japan,JPN,2024,,,
Japan,JPN,2024,,,
"Korea, Rep.",KOR,2024,,,0.567580768714092
"Korea, Rep.",KOR,2024,,,0.848609661401106
Malaysia,MYS,2024,0.49408823494282,,0.418252373124844
Malaysia,MYS,2024,0.62970651116552,,0.546398890035774
Philippines,PHL,2024,0.10809965517295,,0.212478887872669
Philippines,PHL,2024,0.19807807632093,,0.472666337547577
Singapore,SGP,2024,,,0.545715606637109
Singapore,SGP,2024,,,0.692108377023384
Thailand,THA,2024,0.464415835486453,,0.373549837058634
Thailand,THA,2024,0.736477231124518,,0.61810101042464
United States,USA,2024,,,
United States,USA,2024,,,
Indonesia,IDN,2024,0.107650622934339,,0.202215570888842
Indonesia,IDN,2024,0.168078237674189,,0.2404554378915
Japan,JPN,2024,,,
Japan,JPN,2024,,,
"Korea, Rep.",KOR,2024,,,0.50442526170004
"Korea, Rep.",KOR,2024,,,0.62441741486178
Malaysia,MYS,2024,0.473512155900908,,0.391709215132531
Malaysia,MYS,2024,0.564985302811032,,0.491415796248291
Philippines,PHL,2024,0.0970660091004811,,0.210187460215513
Philippines,PHL,2024,0.197912639121084,,0.421413107754986
Singapore,SGP,2024,,,0.564689658881854
Thailand,THA,2024,0.480493029279816,,0.367459374716701
Thailand,THA,2024,0.583955169880665,,0.526856766726897
United States,USA,2024,,,
United States,USA,2024,,,
Indonesia,IDN,2011,,,
Indonesia,IDN,2011,,,
Japan,JPN,2011,,,
Japan,JPN,2011,,,
"Korea, Rep.",KOR,2011,,,
"Korea, Rep.",KOR,2011,,,
Malaysia,MYS,2011,,,
Malaysia,MYS,2011,,,
Philippines,PHL,2011,,,
Philippines,PHL,2011,,,
Singapore,SGP,2011,,,
Singapore,SGP,2011,,,
Thailand,THA,2011,,,
Thailand,THA,2011,,,
United States,USA,2011,,,
United States,USA,2011,,,
Indonesia,IDN,2014,,,
Indonesia,IDN,2014,,,
Japan,JPN,2014,,,
Japan,JPN,2014,,,
"Korea, Rep.",KOR,2014,,,
"Korea, Rep.",KOR,2014,,,
Malaysia,MYS,2014,,,
Malaysia,MYS,2014,,,
Philippines,PHL,2014,,,
Philippines,PHL,2014,,,
Thailand,THA,2014,,,
Thailand,THA,2014,,,
United States,USA,2014,,,
United States,USA,2014,,,
Indonesia,IDN,2017,,,
Indonesia,IDN,2017,,,
Japan,JPN,2017,,,
Japan,JPN,2017,,,
"Korea, Rep.",KOR,2017,,,
"Korea, Rep.",KOR,2017,,,
Malaysia,MYS,2017,,,0.0479965080254459
Malaysia,MYS,2017,,,0.138873099033556
Philippines,PHL,2017,,,
Philippines,PHL,2017,,,
Singapore,SGP,2017,,,
Singapore,SGP,2017,,,
Thailand,THA,2017,,,
Thailand,THA,2017,,,
United States,USA,2017,,,
United States,USA,2017,,,
Indonesia,IDN,2021,0.119849742626184,,
Indonesia,IDN,2021,0.136603518795885,,
Japan,JPN,2021,,,
Japan,JPN,2021,,,
"Korea, Rep.",KOR,2021,,0.17962301357064,
"Korea, Rep.",KOR,2021,,0.166935848830445,
Malaysia,MYS,2021,0.264325135816237,,0.117699043065532
Malaysia,MYS,2021,0.646721705282624,,0.377282536497698
Philippines,PHL,2021,0.12812470318251,,0.182376833562817
Philippines,PHL,2021,0.220276340456019,,0.239292168104624
Singapore,SGP,2021,,,0.148051848731394
Singapore,SGP,2021,,,0.390410101617047
Thailand,THA,2021,0.534500339054864,,0.523863867643979
Thailand,THA,2021,0.670320859494382,,0.629175915364415
United States,USA,2021,,,
United States,USA,2021,,,
Indonesia,IDN,2024,0.0726004136614333,,0.167338244360733
Indonesia,IDN,2024,0.177064983597343,,0.254380277439061
Japan,JPN,2024,,,
Japan,JPN,2024,,,
"Korea, Rep.",KOR,2024,,,0.499727621134716
"Korea, Rep.",KOR,2024,,,0.654458133492697
Malaysia,MYS,2024,0.336114282047375,,0.277462047120041
Malaysia,MYS,2024,0.642916985230023,,0.553398872508546
Philippines,PHL,2024,0.115395140860151,,0.261223919376779
Philippines,PHL,2024,0.146867035882194,,0.305997249623507
Singapore,SGP,2024,,,0.395350669559898
Singapore,SGP,2024,,,0.628413547208043
Thailand,THA,2024,0.376984753587468,,0.364698831602813
Thailand,THA,2024,0.550822686120623,,0.431499143357043
United States,USA,2024,,,
United States,USA,2024,,,
Indonesia,IDN,2011,,,
Indonesia,IDN,2011,,,
Japan,JPN,2011,,,
Japan,JPN,2011,,,
"Korea, Rep.",KOR,2011,,,
"Korea, Rep.",KOR,2011,,,
Malaysia,MYS,2011,,,
Malaysia,MYS,2011,,,
Philippines,PHL,2011,,,
Philippines,PHL,2011,,,
Singapore,SGP,2011,,,
Singapore,SGP,2011,,,
Thailand,THA,2011,,,
Thailand,THA,2011,,,
United States,USA,2011,,,
United States,USA,2011,,,
Indonesia,IDN,2014,,,
Indonesia,IDN,2014,,,
Japan,JPN,2014,,,
Japan,JPN,2014,,,
"Korea, Rep.",KOR,2014,,,
"Korea, Rep.",KOR,2014,,,
Malaysia,MYS,2014,,,
Malaysia,MYS,2014,,,
Philippines,PHL,2014,,,
Philippines,PHL,2014,,,
Singapore,SGP,2014,,,
Singapore,SGP,2014,,,
Thailand,THA,2014,,,
Thailand,THA,2014,,,
United States,USA,2014,,,
United States,USA,2014,,,
Indonesia,IDN,2017,,,
Indonesia,IDN,2017,,,
Japan,JPN,2017,,,
Japan,JPN,2017,,,
"Korea, Rep.",KOR,2017,,,
"Korea, Rep.",KOR,2017,,,
Malaysia,MYS,2017,,,0.11211990102331
Malaysia,MYS,2017,,,0.0799428109892687
Philippines,PHL,2017,,,
Philippines,PHL,2017,,,
Singapore,SGP,2017,,,
Singapore,SGP,2017,,,
Thailand,THA,2017,,,
Thailand,THA,2017,,,
United States,USA,2017,,,
United States,USA,2017,,,
Indonesia,IDN,2021,0.228471854386706,,
Indonesia,IDN,2021,0.019647290173505,,
Japan,JPN,2021,,,
Japan,JPN,2021,,,
"Korea, Rep.",KOR,2021,,0.16194029276457,
"Korea, Rep.",KOR,2021,,0.22030953833452,
Malaysia,MYS,2021,0.618507376981737,,0.342031477016807
Malaysia,MYS,2021,0.0607721834061083,,0.0338317105708081
Philippines,PHL,2021,0.242975157907248,,0.268915577753475
Philippines,PHL,2021,0.0744446033680889,,0.119612371753189
Singapore,SGP,2021,,,0.366208419559084
Singapore,SGP,2021,,,0.0619500944471284
Thailand,THA,2021,0.731861531936754,,0.7079674300021
Thailand,THA,2021,0.504131856895941,,0.469167698305788
United States,USA,2021,,,
United States,USA,2021,,,
Indonesia,IDN,2024,0.200842035977527,,0.314061486268177
Indonesia,IDN,2024,0.0345823418174139,,0.0734121142247058
Japan,JPN,2024,,,
Japan,JPN,2024,,,
"Korea, Rep.",KOR,2024,,,0.689778305098203
"Korea, Rep.",KOR,2024,,,0.138194734094942
Malaysia,MYS,2024,0.626133316201842,,0.526814620978186
Malaysia,MYS,2024,0.123346045989438,,0.128672390902145
Philippines,PHL,2024,0.189546534732544,,0.388456404018536
Philippines,PHL,2024,0.0155353259846428,,0.0725243046428411
Singapore,SGP,2024,,,0.590481196337935
Singapore,SGP,2024,,,0.2305605377569
Thailand,THA,2024,0.759603850089275,,0.660443479751766
Thailand,THA,2024,0.387661456923192,,0.295029496011643
United States,USA,2024,,,
United States,USA,2024,,,
